OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.537865,-95.221358
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.978576,-90.504021
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.947618,-112.714499
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.947618,-112.714499
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.388034,-94.426501
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.925793,-75.094191
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.745948,-78.642238
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.824909,-97.604454
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.394861,-85.916902
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.95922,-85.890255
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.258841,-95.851948
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.813878,-100.2915
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.478193,-107.876277
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.556504,-75.571314
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.615985,-75.662956
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.517143,-82.548708
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.764689,-105.600337
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,33.553994,-82.89619
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.35947,-83.881636
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,43.35947,-83.881636
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,43.35947,-83.881636
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,43.35947,-83.881636
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,43.35947,-83.881636
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,43.35947,-83.881636
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.353913,-109.053701
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.75517,-111.553493
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.76721,-87.557374
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,39.05209,-88.602901
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,39.05209,-88.602901
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,39.05209,-88.602901
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.420868,-90.015112
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,41.420868,-90.015112
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,41.420868,-90.015112
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,40.121155,-85.55803
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,41.07999,-85.138601
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,40.927732,-100.16199
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.326225,-81.657918
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.326225,-81.657918
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,30.486856,-90.956213
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,41.575037,-87.238925
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,41.318648,-87.200309
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,31.59705,-94.592745
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,41.258841,-95.851948
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,44.263315,-104.950252
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,42.76359,-93.368764
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,43.137075,-93.381364
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,41.503321,-94.318574
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,35.14648,-90.184539
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,40.545727,-103.279812
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,38.84028,-97.611424
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,38.045062,-87.562929
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,38.045062,-87.562929
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,39.007845,-83.808538
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.41129,-88.827917
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.84028,-97.611424
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,37.352944,-84.340419
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,29.187199,-82.140092
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,29.187199,-82.140092
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,30.45335,-91.210057
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.130062,-87.438898
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,30.237875,-92.180193
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,29.956142,-90.073393
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.870998,-99.331153
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.14648,-90.184539
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,39.699128,-79.157721
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,47.504885,-111.29189
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,41.943099,-86.556966
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,37.752798,-100.017079
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,41.915336,-83.513566
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,41.915336,-83.513566
